,GF,SPF,Pval
MLT1B,2.866192788,2.879015553,0.134363823
RMER30,2.582736858,2.578691918,0.317058932
tRNA-Ile-ATT,0.806470699,0.812646016,0
LTRIS_Mus,2.342095427,2.338568041,0.170111962
RLTR48B,1.548827967,1.554586063,0.02679728
MLT1O,1.5672953,1.70160252,0.489457627
MER136,0.490961238,0.20790353,0
RLTR22_Mus,1.971342128,2.018159374,0.043185696
Lx8,3.625524842,3.632090062,0.540805815
RLTR20B3,1.502992544,1.525821952,0.011671197
X3_LINE,1.548985736,1.530532658,0.100982494
L1Md_F2,3.735097598,3.772441561,0.117207296
MERX,0.408966413,0.641672373,0
tRNA-Ala-GCY_,2.34101034,2.365888399,0.021292496
RLTR53_Mm,1.612253906,1.668274067,0.064186001
U13,1.039527423,1.233148468,0
RLTR46A,0.701444623,0.528402438,0
MLT1E1,1.631863944,1.629735707,0.070219208
LTR33C,1.687006321,1.665956029,0.114526388
RMER6-int,1.373095987,1.532703432,0
RMER16B3,0.412580535,0.361727836,0
U13_,0.65664569,0.570075705,0
U6,1.920056208,2.028083007,0.645412524
RLTR9A3B,0.995070809,0.819148943,0
MER97d,0,0.037426498,0
(CGTG)n,1.645141445,1.715368141,0.116142189
LTR90B,0.282006758,0.518777069,0
(TTTAA)n,0.623987259,0.638089722,0
MER49,0.326628414,0.46686762,0
tRNA-Leu-CTA_,0.267171728,0.443106457,0
RLTR49,1.916529145,2.00882152,0.36884117
IAPEY3_LTR,1.393173938,1.379015287,0
ORR1E-int,2.046171734,2.074260422,0.004475425
LTR84b,0.88970179,0.906227263,0
(TGAG)n,1.529338675,1.534381523,0.04398668
LSU-rRNA_Hsa,5.561330671,5.535065208,0.489462709
(CAAGC)n,0.261772504,0,0
RLTR1B-int,2.107408653,2.144138138,0.018515473
tRNA-Ser-TCY,1.164947373,1.276185974,0
(CTATG)n,0.490560412,0.571242851,0
(CCCA)n,1.258842445,1.186221536,0
ERVB4_1B-I_MM-int,1.985939446,1.989325207,0.068610388
X8_LINE,1.047330507,0.938319543,0
RLTR12B,2.072165836,2.133832596,0.126556038
SSU-rRNA_Hsa,5.999925965,5.998547026,0.191496715
L1MA4A,2.235510411,2.260848604,0.021292496
(TTAAA)n,0.369215857,0.290924559,0
MLT1M,1.792441721,1.733341738,0.35588688
MamRep1894,1.458421997,1.487506026,0
RMER6D,2.221686169,2.289481926,0.242304948
tRNA-Pro-CCA,0.456366033,0.276921132,0
(CAGAG)n,0.950573466,1.020278394,0
(CTTAA)n,0.025305865,0,0
tRNA-Thr-ACA,0.189530417,0.271376872,0
(CACGA)n,0.02413368,0.40790054,0
MLT1F2-int,1.223533024,1.296796775,0
MLT1D,2.727770079,2.76086108,0.021292496
RLTR48A,1.733392178,1.775464809,0.02679728
RLTR26D_MM,1.475816413,1.371326514,0
L1MC5a,2.295689596,2.339057715,0.030503065
MMSAT4,3.717200179,3.667124072,2.830970839
MER70A,0.784107617,0.875986771,0
RMER3D1,0,0.031812271,0
RLTR19A,1.350497223,1.351680377,0
L1MC3,2.564902673,2.636564117,0.419451677
RMER19C,2.236749535,2.2929203,0.153044884
MMERVK10D3_I-int,2.04897976,2.02965969,0.172143247
PB1D7,3.495615294,3.52366116,0.004475425
MER50B,1.294843983,1.291679584,0
Charlie1b_Mars,0.02413368,0,0
(CACAA)n,0.924648427,0.91179659,0
RLTR19,2.32397949,2.329958947,0.077259302
BGLII_B,2.021644036,2.0872986,0.172143247
MARNA,2.023981063,2.002088271,0.260756916
tRNA-Pro-CCY,0.708906281,0.739888655,0
IAPLTR2a2_Mm,1.818763008,1.822102669,0.070219208
(AGGTG)n,0.597695186,0.413634997,0
MERVL-int,2.927425361,2.923440909,0.242513444
RMER19B,3.597007165,3.532319867,0.695389869
